time,cont,conterr
1.1001934930162278,1.8947610143358595,0.027
1.1001944963172505,1.8945313781451958,0.041
1.100195500822716,1.9831053374011742,0.497
1.1001965041237387,1.9015516845454843,0.159
1.1001975074247698,1.9104090804710818,0.032
1.1110635381550646,1.9070301479513172,0.111
1.111064541456087,-2.0,0.088
1.1110655459615528,1.948823934652101,0.553
1.111066549262575,1.8958763901190827,0.244
1.1110675525636062,1.9182167109536459,0.098
1.117036666113198,1.899944231210839,0.023
1.1170376694142203,1.895482728077945,0.028
1.1170386739196863,1.955680215201916,0.163
1.1170396772207174,1.898238362365909,0.091
1.1170406805217397,1.9128694682281924,0.021
1.1195476395111368,1.9006003346127351,0.03
1.119548642812159,1.9027326706688972,0.048
1.1195496473176334,1.9481678312502049,0.266
1.1195506506186557,1.9075878358429286,0.172
1.1195516539196784,1.915559492175967,0.033
1.1230398955109502,1.8956467539284194,0.028
1.1230408988119813,1.8919397697077058,0.034
1.1230419033174472,1.9686382573893644,0.347
1.1230429066184695,1.8996161795098905,0.129
1.1230439099194918,1.909129678837385,0.025
1.1255565382221295,1.8994193484893218,0.023
1.1255575415231518,1.8952858970573758,0.027
1.1255585460286177,1.952465308532625,0.196
1.12555954932964,1.8865597218121577,0.071
1.1255605526306711,1.9120821441459173,0.023
1.13153468148094,1.8997145950201753,0.022
1.1315356847819622,1.892563067939507,0.027
1.131536689287437,1.9449529245809138,0.137
1.1315376925884593,1.8896434078010693,0.075
1.1315386958894815,1.914181675031985,0.024
1.13630313758833,1.9021749827772858,0.044
1.1363041408893522,1.899025686448184,0.047
1.1363051453948265,1.9581077977889314,0.379
1.1363061486958492,1.9092937046878586,0.154
1.1363071519968715,1.9144113112226488,0.055
1.150754009852359,1.9032903585605094,0.039
1.1507550131533812,1.8979759210051506,0.041
1.1507560176588472,1.9480038053997313,0.22
1.1507570209598694,1.8975494537939177,0.11
1.1507580242609006,1.9128694682281924,0.036
1.1543660826380195,1.9043073188334483,0.034
1.1543670859390418,1.8956139487583243,0.042
1.1543680904445166,1.969917659023062,0.409
1.1543690937455389,1.8986648295771413,0.143
1.1543700970465611,1.91503460945445,0.033
1.160372241241165,1.9011580225043465,0.025
1.1603732445421961,1.892792704130171,0.026
1.160374249047662,1.9576157202375093,0.205
1.1603752523486843,1.8978118951546765,0.085
1.1603762556497066,1.9143457008824591,0.026
1.4856742342849492,1.9001410622314077,0.034
1.4856752375859803,1.8945313781451958,0.049
1.485676240887003,1.9544336187383133,0.175
1.4856772453924685,1.8962044418200308,0.102
1.4856782486934907,1.913984844011416,0.034
1.5037563215473466,1.9022733982875701,0.695
1.5037573260528125,1.9054883049568612,0.89
1.5037583293538348,1.9584030443197848,0.516
1.503759332654866,1.9011252173342519,0.338
1.5037603371603319,1.9187087885050684,0.382
1.5085863873234087,1.8987960502575207,0.035
1.508587390624431,1.8964340780106945,0.039
1.5085883939254536,1.972181215759604,0.303
1.508589398430928,1.8945641833152904,0.099
1.5085904017319502,1.9131975199291409,0.106
1.5109756698221788,1.8980087261752452,0.458
1.5109766743276443,1.8939080799133947,0.571
1.5109776776286754,-2.0,0.268
1.5109786809296977,1.9006659449529244,0.314
1.5109796854351636,1.9145753370731229,0.496
1.5277826662690073,1.8991241019584684,0.032
1.5277836707744732,1.893219171341403,0.029
1.5277846740754955,1.954630449758882,0.127
1.5277856773765266,-2.0,0.082
1.5277866818819925,1.911819702785159,0.03
1.5398255895765414,1.9050290325755341,0.806
1.5398265928775636,1.9013876586950103,0.686
1.539827597383038,1.9523996981924348,0.438
1.5398286006840607,1.8975166486238226,0.714
1.539829603985083,1.921497227963127,0.712
1.5447416694454725,1.9029295016894663,0.536
1.5447426727465037,1.895843584948988,0.596
1.5447436772519696,1.9730669553521634,0.434
1.5447446805529919,1.9040120723025948,0.43
1.5447456838540141,1.915362661155398,0.558
1.5495454085063058,1.9014532690352,0.71
1.5495464130117713,1.8966309090312636,0.509
1.5495474163127936,1.9587967063609226,0.266
1.5495484196138163,1.898566414066857,0.498
1.5495494241192818,1.9151658301348293,0.519
1.5518622702559708,1.9001410622314077,0.029
1.551863273557002,1.8949906505265228,0.088
1.5518642768580242,1.952760555063478,0.134
1.5518652813634901,1.8976806744742971,0.099
1.5518662846645124,1.9137552078207523,0.033
1.560270784382288,1.905455499786766,0.043
1.5602717876833108,1.8918741593675161,0.109
1.5602727921887762,1.9506938293475051,0.126
1.5602737954898074,-2.0,0.072
1.5602747987908296,1.9137224026506576,0.028
1.5639016958610212,1.904077682642784,0.418
1.5639027003664872,1.894596988485385,0.657
1.5639037036675094,1.9484302726109632,0.408
1.5639047069685317,1.9039464619624056,0.132
1.563905711474006,1.9171013351704227,0.176
1.5795481946088108,1.90315913788013,0.625
1.579549197909833,1.8942361316143423,0.45
1.5795502012108553,1.956795590985139,0.185
1.5795512057163212,1.8997474001902699,0.718
1.5795522090173524,1.9131319095889507,0.5
1.583163636221562,1.9030607223698457,0.542
1.583164640727028,1.895318702227471,0.628
1.583165644028059,1.9606994062264214,0.258
1.5831666473290813,1.9177574385723188,0.332
1.5831676518345468,1.91503460945445,0.517
1.586769981880733,1.9055867204671455,0.544
1.5867709863861985,1.8998458157005547,0.563
1.5867719896872212,2.0,0.816
1.5867729929882524,1.8956795590985136,0.438
1.5867739974937178,1.9234983433389101,0.665
1.590389231942272,1.9022733982875701,0.426
1.5903902364477376,1.8946954039956698,0.097
1.5903912397487687,1.9517763999606337,0.457
1.5903922430497914,1.8906275629039135,0.092
1.590393247555257,1.9145753370731229,0.435
1.9457460370042372,1.8995833743397958,0.081
1.9457470403052595,1.8929895351507398,0.102
1.9457480436062817,1.9481022209100152,0.118
1.9457490481117476,1.9029951120296555,0.089
1.9457500514127788,1.9124101958468653,0.053
1.9481931496295246,1.9001738674015023,0.615
1.9481941529305469,1.8978775054948662,0.686
1.9481951574360128,1.9689335039202178,0.334
1.948196160737044,1.9115900665944952,1.239
1.9481971640380662,1.927270937899813,0.675
1.9518282345032683,1.8994521536594169,0.025
1.9518292378042994,1.8967621297116422,0.036
1.951830241105322,1.950365777646557,0.127
1.9518312456107876,1.8927270937899814,0.077
1.9518322489118098,1.9138208181609424,0.027
1.9686845155534822,1.9002394777416916,0.541
1.9686855188545045,1.8941049109339634,0.582
1.9686865221555356,1.9454121969622413,0.154
1.9686875266610016,1.8951546763769973,0.2
1.9686885299620238,1.913689597480563,0.235
1.975893388787489,1.9120493389758226,0.832
1.975894393292955,1.904996227405439,0.797
1.9758953965939856,1.9755929534494636,0.488
1.9758963998950083,1.9024374241380442,0.549
1.9758974044004738,1.9184791523144047,0.603
1.9795280316306574,1.8987632450874257,0.57
1.9795290349316796,1.8939080799133947,0.483
1.9795300394371456,1.9575829150674142,0.152
1.9795310427381767,1.8949250401863331,0.071
1.979532046039199,1.913853623331037,0.273
1.9855418384468986,-2.0,0.518
1.9855428417479208,-2.0,99.999
1.9855438462533868,1.9467244037660332,0.214
1.985544849554409,1.90909687366729,0.683
1.9855458528554402,1.9160843748974834,0.556
1.9999959855914584,1.9139192336712263,0.768
1.9999969888924807,1.8941049109339634,0.566
1.999997992193503,1.9372765147787288,0.413
1.9999989966989689,1.900862775973493,0.465
2.0,1.9268772758586752,0.585
