#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,w1,oiii_5007_flux,h_alpha_flux,h_beta_flux,nii_6584_flux,H_FWHM,forbidden_FWHM,class,subclass,w1mpro,w2mpro,w3mpro,wise_cntr,sdss_objid,specobjid
169.874998891619,24.9893241794479,169.8750945,24.9893597,15.96091,11.221,161.2522,234.7891,120.6986,219.9978,380.3266,305.6225,GALAXY,AGN BROADLINE,11.221,11.29,10.674,1700125701241003050,1237667551420940370,2811466145322788864
126.637019044199,23.1927516208874,126.637123,23.1928583,15.73224,10.791,135.2268,184.0137,47.25696,268.2448,189.4071,267.2194,GALAXY,BROADLINE,10.791,10.773,8.675,1270122701241033898,1237664667886157950,2168652326141716480
131.223156377448,55.054021166978,131.2232372,55.0540682,16.64921,11.904,126.1024,262.5349,61.65615,208.9472,269.4203,268.4365,GALAXY,AGN,11.904,11.895,10.629,1302154501241032339,1237651272962212132,502299549503612928
206.938566424302,16.9731286812951,206.9386213,16.9731412,16.03119,11.404,86.70879,170.908,52.2738,269.4178,458.397,479.0985,GALAXY,BROADLINE,11.404,11.467,10.386,2075116601241024507,1237668315919417476,3087346808196720640
181.788382736703,25.6407063994687,181.7884542,25.6406805,16.5332,11.463,43.85452,1205.747,207.4138,460.9834,342.4135,348.4362,GALAXY,STARFORMING,11.463,11.263,7.423,1816125701241017801,1237667448339234839,2990493856773990400
126.774835114401,21.645276325145,126.7748771,21.6453426,15.95309,10.948,122.8987,175.5148,59.33336,234.0226,300.971,283.4235,GALAXY,BROADLINE,10.948,11.045,10.159,1275121201241023718,1237664835926098002,2169770529534273536
208.034818573267,14.1162244517014,208.034867,14.1162714,15.99146,10.611,130.6564,263.0497,85.61443,436.6714,495.9087,397.4596,GALAXY,BROADLINE,10.611,10.654,9.636,2079113601241038318,1237664291011952667,2001955652628408320
176.485865272615,50.1997377625704,176.4860862,50.1999618,15.74161,11.178,5155.159,9116.758,2888.22,1258.65,93.84633,94.45697,GALAXY,STARBURST,11.178,11.112,7.696,1765149901241027080,1237658613593735178,1088904133571799040
128.378213290653,41.5254528666379,128.3782579,41.5255071,16.48637,11.152,65.63897,155.6277,66.6058,187.5968,426.1804,380.8848,GALAXY,BROADLINE,11.152,11.261,10.789,1285140801241035132,1237657608573943931,1007796733280806912
37.0869346894007,0.687234189325902,37.0869123,0.6872518,17.8175,12.586,17.25338,130.0697,32.74776,88.33881,188.8738,243.4578,GALAXY,,12.586,12.554,9.248,378100001241038978,1237657587096354933,2968047045270595584
161.677148616322,25.9315468934593,161.6771632,25.9316259,16.12259,10.676,1826.258,5518.173,1107.254,3339.275,322.1535,320.8476,GALAXY,STARFORMING,10.676,10.315,6.749,1616125701241025028,1237667430639468582,2651632058064988160
184.885770284531,56.7365737515805,184.8859349,56.7366341,14.87537,10.164,251.0829,398.3948,168.5211,595.3766,463.2033,457.5702,GALAXY,BROADLINE,10.164,10.188,8.87,1839156001241032584,1237661352170422279,1480594433329096704
155.793479740165,17.962743198703,155.7934112,17.962854,16.89653,11.505,584.3412,3773.98,963.6081,1152.682,127.1577,128.8841,GALAXY,STARBURST,11.505,11.384,7.349,1554118101241011876,1237668289620803614,2917303759988090880
181.047063304062,20.40984036823,181.0471923,20.4098832,15.92583,10.58,264.012,325.2346,112.2537,467.2952,287.1227,275.1428,GALAXY,AGN BROADLINE,10.58,10.606,9.387,1808119601241032059,1237668298739351591,2937578485163517952
33.2955381625694,14.0179742584605,33.295492,14.0180287,16.27687,11.42,18.58572,95.02374,31.51543,80.13768,223.6896,186.1573,GALAXY,BROADLINE,11.42,11.467,9.908,325113601241027951,1237670959470936199,482035000179451904
119.440282751805,32.5581284543026,119.4403179,32.5581062,15.73067,10.683,1030.499,797.8468,158.5034,1028.453,290.7742,373.6732,GALAXY,AGN BROADLINE,10.683,10.465,7.222,1200131801241037926,1237674288071442762,1002213138390607872
