,mjd,mag,magerr
71,53634.329957,-99.0,0.04
72,53634.330791,-99.0,0.154
73,53634.331624,19.77,0.128
74,53634.332457,19.892,0.058
75,53638.370459,19.637,0.018
76,53638.371292,19.597,0.024
77,53638.372126,20.296,0.064
78,53638.372959,19.686,0.075
79,53638.373792,19.993,0.022
80,53640.334495,19.652,0.019
81,53640.335328,19.659,0.025
82,53640.336162,-99.0,0.065
83,53640.336995,19.752,0.087
84,53640.337828,19.954,0.02
85,53655.306667,19.717,0.024
86,53655.307500,19.658,0.036
87,53655.308334,20.261,0.069
88,53655.309167,19.495,0.103
89,53655.310000,20.04,0.024
90,53664.331622,19.753,0.062
91,53664.332455,19.649,0.078
92,53664.333289,-99.0,0.275
93,53664.334122,20.028,0.289
94,53664.334955,20.041,0.06
95,53669.290867,19.689,0.018
96,53669.291700,19.639,0.025
97,53669.292534,20.23,0.05
98,53669.293367,19.759,0.076
99,53669.294200,20.043,0.018
100,53671.375627,19.689,0.026
101,53671.376460,19.675,0.032
102,53671.377294,-99.0,0.09
103,53671.378127,19.853,0.113
104,53671.378960,-99.0,0.023
105,53674.275103,19.703,0.022
106,53674.275936,19.684,0.031
107,53674.276770,-99.0,0.077
108,53674.277603,19.712,0.098
109,53674.278436,20.008,0.021
110,53676.364570,19.678,0.022
111,53676.365403,-99.0,0.027
112,53676.366237,20.118,0.076
113,53676.367070,19.644,0.097
114,53676.367903,20.068,0.021
115,53679.336466,19.637,0.026
116,53679.337299,19.747,0.039
117,53679.338133,-99.0,0.083
118,53679.338966,19.786,0.127
119,53679.339799,20.037,0.023
120,53681.327980,19.683,0.018
121,53681.328813,19.702,0.026
122,53681.329647,20.349,0.061
123,53681.330480,19.837,0.075
124,53681.331313,20.103,0.019
125,53685.287034,19.739,0.033
126,53685.287867,19.701,0.035
127,53685.288701,20.346,0.108
128,53685.289534,19.77,0.095
129,53685.290367,20.069,0.045
130,53694.300913,19.849,0.046
131,53694.301746,19.777,0.052
132,53694.302580,20.653,0.253
133,53694.303413,19.716,0.141
134,53694.304246,20.048,0.063
135,53697.285004,19.735,0.027
136,53697.285837,19.672,0.037
137,53697.286671,20.342,0.096
138,53697.287504,19.722,0.101
139,53697.288337,20.059,0.033
140,53700.283962,19.762,0.025
141,53700.284795,19.714,0.037
142,53700.285629,20.373,0.085
143,53700.286462,19.792,0.129
144,53700.287295,20.132,0.024
145,53705.270632,19.757,0.02
146,53705.271465,19.743,0.028
147,53705.272299,20.432,0.068
148,53705.273132,19.784,0.077
149,53705.273965,20.077,0.021
150,53975.355626,19.542,0.021
151,53975.356459,19.492,0.026
152,53975.357292,20.011,0.053
153,53975.358126,19.5,0.07
154,53975.358959,19.76,0.028
155,53990.368536,19.531,0.026
156,53990.369369,19.496,0.026
157,53990.370203,20.152,0.08
158,53990.371036,19.593,0.072
159,53990.371869,19.872,0.03
160,53994.378635,19.575,0.018
161,53994.379468,19.537,0.022
162,53994.380302,19.99,0.044
163,53994.381135,19.611,0.071
164,53994.381968,19.833,0.024
165,53996.362380,19.563,0.023
166,53996.363213,19.535,0.027
167,53996.364047,20.02,0.059
168,53996.364880,19.686,0.092
169,53996.365713,19.882,0.028
170,54010.316476,19.583,0.017
171,54010.317309,19.543,0.021
172,54010.318143,-99.0,0.034
173,54010.318976,19.629,0.056
174,54010.319809,19.916,0.023
175,54012.309485,19.58,0.029
176,54012.310318,19.524,0.029
177,54012.311151,20.147,0.08
178,54012.311985,19.606,0.08
179,54012.312818,19.847,0.033
180,54020.315374,19.608,0.029
181,54020.316207,19.532,0.03
182,54020.317041,20.072,0.061
183,54020.317874,19.564,0.082
184,54020.318707,19.894,0.025
185,54024.396991,19.611,0.025
186,54024.397824,19.574,0.038
187,54024.398658,-99.0,0.087
188,54024.399491,19.666,0.128
189,54024.400324,19.936,0.03
190,54028.385200,19.534,0.029
191,54028.386033,19.498,0.046
192,54028.386867,-99.0,0.067
193,54028.387700,19.61,0.095
194,54028.388533,-99.0,0.027
195,54030.308882,19.601,0.017
196,54030.309715,19.558,0.021
197,54030.310548,20.159,0.043
198,54030.311382,19.677,0.064
199,54030.312215,19.907,0.021
200,54035.384619,19.589,0.038
201,54035.385452,19.582,0.044
202,54035.386286,-99.0,0.105
203,54035.387119,19.639,0.116
204,54035.387952,19.863,0.029
205,54037.290102,19.617,0.019
206,54037.290935,19.554,0.023
207,54037.291768,20.11,0.043
208,54037.292602,19.75,0.068
209,54037.293435,19.887,0.021
210,54040.304599,19.686,0.028
211,54040.305432,19.572,0.029
212,54040.306266,20.241,0.09
213,54040.307099,19.565,0.077
214,54040.307932,19.897,0.035
215,54049.331041,19.523,0.028
216,54049.331874,19.493,0.035
217,54049.332708,19.944,0.098
218,54049.333541,19.729,0.116
219,54049.334374,19.932,0.05
220,54053.295411,19.529,0.019
221,54053.296244,19.556,0.025
222,54053.297077,20.08,0.051
223,54053.297911,19.63,0.072
224,54053.298744,19.836,0.019
225,54056.297051,19.57,0.028
226,54056.297884,19.527,0.027
227,54056.298718,20.009,0.097
228,54056.299551,19.453,0.078
229,54056.300384,19.781,0.023
230,54059.291376,19.536,0.027
231,54059.292209,19.577,0.029
232,54059.293043,19.948,0.053
233,54059.293876,19.469,0.075
234,54059.294709,19.864,0.019
235,54061.302547,19.536,0.03
236,54061.303381,19.624,0.046
237,54061.304214,-99.0,0.058
238,54061.305047,19.509,0.087
239,54061.305881,19.841,0.026
240,54062.296329,19.57,0.02
241,54062.297163,19.509,0.024
242,54062.297996,19.994,0.044
243,54062.298829,19.699,0.076
244,54062.299663,19.838,0.023
245,54068.276796,19.543,0.028
246,54068.277629,19.476,0.031
247,54068.278463,-99.0,0.088
248,54068.279296,19.46,0.074
249,54068.280129,19.861,0.037
250,54357.334527,19.707,0.021
251,54357.335361,19.718,0.026
252,54357.336194,20.158,0.043
253,54357.337027,19.771,0.061
254,54357.337861,20.017,0.026
255,54359.366236,19.66,0.027
256,54359.367069,19.756,0.038
257,54359.367902,20.183,0.057
258,54359.368736,19.778,0.093
259,54359.369569,19.978,0.027
260,54362.384331,19.73,0.021
261,54362.385164,19.753,0.028
262,54362.385997,20.148,0.047
263,54362.386831,19.747,0.067
264,54362.387664,19.989,0.022
265,54376.379415,19.679,0.022
266,54376.380249,19.671,0.027
267,54376.381082,20.041,0.047
268,54376.381915,19.707,0.069
269,54376.382749,19.948,0.024
270,54382.364533,19.646,0.026
271,54382.365366,19.637,0.035
272,54382.366200,20.003,0.053
273,54382.367033,19.714,0.124
274,54382.367866,19.935,0.028
275,54385.382433,19.639,0.017
276,54385.383266,19.664,0.022
277,54385.384099,20.019,0.042
278,54385.384933,19.717,0.054
279,54385.385766,19.975,0.022
280,54387.382985,19.645,0.033
281,54387.383819,19.65,0.033
282,54387.384652,20.0,0.06
283,54387.385485,19.66,0.092
284,54387.386319,19.895,0.033
285,54391.383669,19.681,0.031
286,54391.384502,19.673,0.044
287,54391.385336,-99.0,0.069
288,54391.386169,19.756,0.149
289,54391.387002,19.912,0.025
290,54402.376115,19.754,0.036
291,54402.376948,19.7,0.04
292,54402.377781,-99.0,0.136
293,54402.378615,19.846,0.107
294,54402.379448,19.906,0.04
