,mjd,mag,magerr
309,54381.393708,20.355,0.579
310,54384.397016,18.94,0.385
311,54384.397849,17.439,0.069
312,54384.398682,24.029,1.511
313,54384.399516,16.62,0.035
314,54384.400349,20.63,0.191
315,54386.382755,18.947,0.254
316,54386.383588,17.425,0.068
317,54386.384421,26.521,99.999
318,54386.385255,16.58,0.022
319,54386.386088,20.318,0.59
320,54388.386928,18.987,0.262
321,54388.387761,17.391,0.057
322,54388.388594,25.062,4.93
323,54388.389428,16.636,0.03
324,54388.390261,20.252,0.497
325,54392.384503,18.912,0.227
326,54392.385337,17.478,0.069
327,54392.386170,99.992,99.999
328,54392.387003,16.671,0.038
329,54392.387837,20.478,0.508
330,54403.300762,19.06,0.195
331,54403.301596,17.471,0.09
332,54403.302429,100.011,99.999
333,54403.303262,16.65,0.053
334,54403.304096,20.378,0.295
335,54404.358274,18.956,0.371
336,54404.359108,17.397,0.073
337,54404.359941,24.749,6.177
338,54404.360774,16.637,0.044
339,54404.361608,21.805,0.685
340,54405.356234,18.993,0.15
341,54405.357067,17.407,0.078
342,54405.357901,22.999,0.995
343,54405.358734,16.6,0.04
344,54405.359567,20.967,0.266
345,54406.294572,19.041,0.436
346,54406.295405,17.396,0.077
347,54406.296238,27.844,99.999
348,54406.297072,16.584,0.041
349,54406.297905,20.34,0.317
350,54412.320304,19.207,0.314
351,54412.321137,17.416,0.063
352,54412.321971,24.895,7.958
353,54412.322804,16.662,0.041
354,54412.323637,20.398,0.443
