,mjd,mag,magerr
295,54392.382526,20.799,0.061
296,54392.383360,20.601,0.073
297,54392.384193,21.522,0.24
298,54392.385026,20.288,0.161
299,54392.385860,20.793,0.058
300,54403.298710,20.684,0.093
301,54403.299544,20.47,0.106
302,54403.300377,21.542,0.532
303,54403.301210,21.155,0.886
304,54403.302044,20.753,0.179
305,54404.356437,20.587,0.049
306,54404.357271,20.563,0.052
307,54404.358104,21.28,0.261
308,54404.358937,20.197,0.141
309,54404.359771,20.702,0.054
310,54405.354264,20.595,0.039
311,54405.355097,20.538,0.051
312,54405.355930,21.054,0.169
313,54405.356764,20.367,0.161
314,54405.357597,20.656,0.043
315,54406.292530,20.629,0.032
316,54406.293364,20.589,0.035
317,54406.294197,21.339,0.122
318,54406.295030,20.084,0.085
319,54406.295864,20.687,0.032
320,54412.318319,20.649,0.042
321,54412.319152,20.69,0.058
322,54412.319986,-99.0,0.228
323,54412.320819,20.133,0.143
324,54412.321652,20.658,0.034
