,mjd,mag,magerr
113,53679.342702,14.276,0.004
114,53679.343535,15.748,0.003
115,53685.290770,14.794,0.004
116,53685.291603,14.462,0.005
117,53685.292437,18.151,0.02
118,53685.293270,14.271,0.005
119,53685.294103,15.776,0.004
120,53694.304650,14.746,0.003
121,53694.305483,14.431,0.003
122,53694.306317,18.042,0.034
123,53694.307150,14.262,0.004
124,53694.307983,15.734,0.003
125,53697.288739,14.756,0.004
126,53697.289572,14.452,0.004
127,53697.290406,18.086,0.019
128,53697.291239,14.267,0.005
129,53697.292072,15.76,0.004
130,53700.287697,14.767,0.003
131,53700.288530,14.424,0.003
132,53700.289364,18.093,0.017
133,53700.290197,14.259,0.004
134,53700.291030,15.734,0.003
135,53705.274366,14.803,0.003
136,53705.275199,14.455,0.004
137,53705.276033,18.116,0.016
138,53705.276866,14.275,0.004
139,53705.277699,15.762,0.004
140,53975.359363,14.708,0.017
141,53975.360196,14.41,0.028
142,53975.361029,18.049,0.028
143,53975.361863,14.246,0.018
144,53975.362696,15.723,0.014
145,53990.372193,14.651,0.031
146,53990.373026,14.399,0.02
147,53990.373859,18.191,0.039
148,53990.374693,14.311,0.019
149,53990.375526,15.776,0.016
150,53994.382358,14.757,0.016
151,53994.383191,14.468,0.015
152,53994.384024,18.183,0.014
153,53994.384858,14.27,0.014
154,53994.385691,15.745,0.001
155,53996.366104,14.776,0.011
156,53996.366937,14.419,0.015
157,53996.367770,18.1,0.016
158,53996.368604,14.245,0.014
159,53996.369437,15.718,0.011
160,54010.320262,14.775,0.013
161,54010.321095,14.399,0.021
162,54010.321928,-99.0,0.015
163,54010.322762,14.284,0.016
164,54010.323595,15.751,0.013
165,54012.313132,14.763,0.015
166,54012.313966,14.443,0.012
167,54012.314799,-99.0,0.021
168,54012.315632,14.267,0.016
169,54012.316466,15.764,0.012
170,54020.319038,14.75,0.009
171,54020.319871,14.434,0.012
172,54020.320704,18.083,0.021
173,54020.321538,14.239,0.016
174,54020.322371,15.737,0.017
175,54024.400646,14.742,0.014
176,54024.401479,14.413,0.017
177,54024.402312,18.044,0.02
178,54024.403146,14.243,0.019
179,54024.403979,15.731,0.035
180,54028.388919,14.733,0.025
181,54028.389752,14.452,0.015
182,54028.390585,18.154,0.017
183,54028.391419,14.24,0.019
184,54028.392252,15.697,0.013
185,54035.388392,14.768,0.02
186,54035.389226,14.445,0.001
187,54035.390059,18.151,0.034
188,54035.390892,14.278,0.03
189,54035.391726,15.775,0.016
190,54037.293834,14.79,0.016
191,54037.294667,14.468,0.017
192,54037.295501,18.165,0.024
193,54037.296334,14.246,0.023
194,54037.297167,15.811,0.02
195,54040.308394,14.788,0.012
196,54040.309228,14.45,0.022
197,54040.310061,18.112,0.037
198,54040.310894,14.278,0.009
199,54040.311728,15.761,0.016
200,54049.334801,14.742,0.012
201,54049.335634,14.431,0.011
202,54049.336467,18.041,0.021
203,54049.337301,14.251,0.015
204,54049.338134,15.738,0.01
205,54053.299105,14.775,0.035
206,54053.299938,14.431,0.019
207,54053.300772,18.112,0.022
208,54053.301605,14.227,0.015
209,54053.302438,15.736,0.024
210,54056.300818,14.771,0.025
211,54056.301652,14.451,0.03
212,54056.302485,18.134,0.048
213,54056.303318,14.284,0.023
214,54056.304152,15.745,0.028
215,54059.295056,14.813,0.018
216,54059.295889,14.444,0.01
217,54059.296723,18.151,0.03
218,54059.297556,14.301,0.023
219,54059.298389,15.75,0.025
220,54061.306139,14.716,0.028
221,54061.306973,14.407,0.045
222,54061.307806,18.13,0.02
223,54061.308639,14.258,0.026
224,54061.309473,15.761,0.022
225,54062.299953,14.792,0.014
226,54062.300787,14.412,0.012
227,54062.301620,18.104,0.014
228,54062.302453,14.261,0.011
229,54062.303287,15.749,0.015
230,54068.280562,14.763,0.012
231,54068.281395,14.418,0.01
232,54068.282229,18.084,0.027
233,54068.283062,14.259,0.012
234,54068.283895,15.743,0.009
235,54357.338264,14.753,0.015
236,54357.339097,14.393,0.015
237,54357.339930,18.063,0.025
238,54357.340764,14.255,0.016
239,54357.341597,15.741,0.025
240,54359.370027,14.807,0.009
241,54359.370860,14.36,0.018
242,54359.371694,18.089,0.034
243,54359.372527,14.241,0.014
244,54359.373360,15.733,0.022
245,54362.388112,14.839,0.026
246,54362.388945,14.419,0.016
247,54362.389779,18.099,0.026
248,54362.390612,14.252,0.019
249,54362.391445,15.758,0.029
250,54365.368843,14.752,0.012
251,54365.369676,99.988,99.999
252,54365.370509,99.988,99.999
253,54365.371343,99.987,99.999
254,54365.372176,99.991,99.999
255,54382.368362,14.746,0.021
256,54382.369195,14.429,0.023
257,54382.370029,18.033,0.019
258,54382.370862,14.246,0.039
259,54382.371695,15.754,0.025
260,54385.386078,14.747,0.013
261,54385.386911,14.425,0.012
262,54385.387744,18.074,0.026
263,54385.388578,14.299,0.024
264,54385.389411,15.728,0.029
265,54390.379044,14.743,0.015
266,54390.379878,14.451,0.015
267,54390.380711,18.116,0.021
268,54390.381544,14.269,0.015
269,54390.382378,15.745,0.015
270,54391.387430,14.751,0.009
271,54391.388263,14.444,0.013
272,54391.389096,18.143,0.02
273,54391.389930,14.275,0.01
274,54391.390763,15.744,0.033
275,54402.379742,14.736,0.018
276,54402.380575,14.412,0.013
277,54402.381409,18.058,0.025
278,54402.382242,14.269,0.019
279,54402.383075,15.754,0.013
280,54412.318359,17.995,0.016
281,54412.319193,16.525,0.024
282,54412.320026,-99.0,0.316
283,54412.320859,15.808,0.023
284,54412.321693,19.381,0.021
