plate,mjd,fiber,redshift,subclass,e_bv_sfd,h_beta_flux
1162,52668,483,0.257148,BROADLINE,0.01672929,183.5643
1164,52674,239,0.2096944,STARBURST BROADLINE,0.01524746,210.3706
1164,52674,422,0.2618298,BROADLINE,0.01415931,110.1135
1164,52674,480,0.2814417,BROADLINE,0.01487303,241.9292
1165,52703,202,0.220537,BROADLINE,0.01439033,92.15675
1165,52703,240,0.2706152,BROADLINE,0.01690934,51.12079
1165,52703,486,0.2112526,BROADLINE,0.02600643,410.2334
1165,52703,629,0.1378198,AGN BROADLINE,0.02049261,165.0982
1166,52751,202,0.139522,STARBURST BROADLINE,0.01866822,170.3694
1278,52735,96,0.2353105,BROADLINE,0.01794738,589.2418
1280,52738,361,0.2362584,STARBURST BROADLINE,0.007901166,156.9879
1281,52753,569,0.2491418,BROADLINE,0.01218561,99.44942
1282,52759,45,0.2715582,BROADLINE,0.01074166,136.7419
1284,52736,230,0.267134,STARBURST BROADLINE,0.04205629,385.2041
1285,52723,39,0.1514203,BROADLINE,0.01972051,834.8927
1285,52723,484,0.2016272,BROADLINE,0.01552319,55.15951
1286,52725,384,0.2369364,BROADLINE,0.01178584,77.77452
1287,52728,296,0.1137073,BROADLINE,0.008684875,1965.385
1288,52731,236,0.2076394,STARBURST BROADLINE,0.0140586,189.9836
1289,52734,184,0.2313373,BROADLINE,0.02403107,874.7607
1289,52734,449,0.2653963,STARBURST BROADLINE,0.01698527,82.51402
1290,52734,136,0.1898469,STARBURST BROADLINE,0.01646999,484.8739
1290,52734,264,0.2627973,BROADLINE,0.01673746,384.6723
1317,52765,98,0.2657985,,0.009585256,46.20585
1318,52781,42,0.2985226,BROADLINE,0.0158489,473.7039
1318,52781,201,0.1605687,STARBURST BROADLINE,0.01461973,281.1324
1318,52781,242,0.2096186,BROADLINE,0.0155468,268.3517
1318,52781,620,0.2779047,BROADLINE,0.01015211,89.90127
1322,52791,389,0.2466999,BROADLINE,0.006571535,128.5294
